FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	time
0.212	0.343	0.141	0.121	-0.466	0.457	0.395	-0.556	-0.745	-0.073	-0.318	0.107	-0.040	0.271	-0.348	-0.001	0.939	-0.423	0.187	-0.249	-0.057	0.764	0.048	0.258	0.345	-0.194	-0.195	-0.314	-199.219
0.130	0.276	0.157	0.038	-0.463	0.321	0.334	-0.398	-0.869	-0.057	-0.164	0.110	-0.115	0.186	-0.214	-0.082	0.781	-0.378	0.164	-0.292	-0.126	0.604	0.143	0.259	0.460	-0.044	-0.086	-0.155	-195.312
0.060	0.227	0.179	-0.024	-0.449	0.200	0.275	-0.258	-0.978	-0.053	-0.034	0.100	-0.187	0.108	-0.094	-0.123	0.644	-0.327	0.155	-0.313	-0.184	0.457	0.225	0.247	0.540	0.077	0.005	-0.018	-191.406
0.010	0.205	0.208	-0.050	-0.417	0.106	0.218	-0.150	-1.054	-0.067	0.055	0.071	-0.254	0.043	0.001	-0.101	0.545	-0.268	0.168	-0.300	-0.222	0.336	0.285	0.214	0.565	0.151	0.067	0.081	-187.500
-0.011	0.212	0.243	-0.036	-0.364	0.043	0.165	-0.083	-1.086	-0.103	0.091	0.019	-0.311	-0.004	0.067	-0.009	0.492	-0.199	0.204	-0.244	-0.235	0.248	0.319	0.159	0.523	0.169	0.089	0.135	-183.594
-0.002	0.242	0.278	0.016	-0.292	0.007	0.117	-0.060	-1.070	-0.156	0.073	-0.051	-0.353	-0.027	0.103	0.144	0.481	-0.121	0.256	-0.146	-0.219	0.196	0.326	0.086	0.417	0.133	0.069	0.139	-179.688
0.036	0.282	0.307	0.095	-0.206	-0.013	0.074	-0.078	-1.008	-0.217	0.007	-0.131	-0.373	-0.025	0.113	0.329	0.500	-0.037	0.310	-0.018	-0.178	0.177	0.310	0.005	0.264	0.058	0.011	0.101	-175.781
0.098	0.315	0.321	0.181	-0.118	-0.032	0.038	-0.128	-0.903	-0.275	-0.091	-0.208	-0.365	-0.001	0.105	0.508	0.529	0.047	0.353	0.123	-0.120	0.184	0.280	-0.069	0.091	-0.034	-0.075	0.032	-171.875
0.172	0.322	0.310	0.252	-0.043	-0.066	0.011	-0.197	-0.765	-0.315	-0.201	-0.270	-0.330	0.039	0.084	0.639	0.545	0.125	0.370	0.251	-0.056	0.207	0.248	-0.122	-0.068	-0.116	-0.171	-0.047	-167.969
0.246	0.286	0.268	0.284	0.007	-0.128	-0.005	-0.272	-0.601	-0.328	-0.301	-0.302	-0.270	0.082	0.058	0.684	0.528	0.190	0.355	0.340	-0.002	0.238	0.225	-0.141	-0.183	-0.162	-0.256	-0.115	-164.062
0.310	0.199	0.190	0.260	0.021	-0.220	-0.009	-0.340	-0.420	-0.307	-0.375	-0.297	-0.191	0.119	0.031	0.623	0.467	0.237	0.308	0.367	0.029	0.269	0.220	-0.118	-0.231	-0.154	-0.309	-0.155	-160.156
0.352	0.060	0.080	0.172	-0.007	-0.339	-0.000	-0.391	-0.233	-0.254	-0.411	-0.253	-0.099	0.140	0.008	0.454	0.358	0.263	0.237	0.321	0.028	0.296	0.238	-0.054	-0.202	-0.083	-0.315	-0.153	-156.250
0.367	-0.117	-0.053	0.026	-0.073	-0.471	0.020	-0.419	-0.051	-0.174	-0.405	-0.173	-0.001	0.139	-0.011	0.195	0.208	0.267	0.155	0.201	-0.007	0.315	0.276	0.042	-0.102	0.047	-0.267	-0.107	-152.344
0.351	-0.313	-0.193	-0.162	-0.167	-0.600	0.051	-0.421	0.117	-0.078	-0.364	-0.068	0.098	0.118	-0.025	-0.115	0.032	0.248	0.075	0.021	-0.071	0.325	0.325	0.155	0.050	0.219	-0.167	-0.024	-148.438
0.307	-0.501	-0.321	-0.366	-0.270	-0.706	0.089	-0.396	0.262	0.023	-0.298	0.047	0.196	0.084	-0.036	-0.429	-0.153	0.211	0.006	-0.194	-0.149	0.324	0.370	0.266	0.221	0.406	-0.026	0.081	-144.531
0.238	-0.655	-0.419	-0.554	-0.360	-0.772	0.134	-0.346	0.381	0.119	-0.219	0.156	0.291	0.047	-0.047	-0.702	-0.330	0.156	-0.047	-0.413	-0.227	0.309	0.397	0.355	0.380	0.578	0.137	0.186	-140.625
0.152	-0.753	-0.471	-0.697	-0.414	-0.788	0.181	-0.276	0.471	0.202	-0.138	0.244	0.382	0.016	-0.061	-0.896	-0.487	0.091	-0.086	-0.607	-0.286	0.277	0.391	0.408	0.496	0.705	0.303	0.271	-136.719
0.058	-0.782	-0.470	-0.776	-0.416	-0.751	0.229	-0.192	0.538	0.268	-0.064	0.300	0.464	-0.000	-0.078	-0.989	-0.613	0.020	-0.118	-0.749	-0.313	0.228	0.345	0.418	0.552	0.769	0.451	0.318	-132.812
-0.036	-0.743	-0.421	-0.781	-0.358	-0.666	0.272	-0.100	0.585	0.313	-0.004	0.321	0.530	0.003	-0.096	-0.980	-0.702	-0.050	-0.148	-0.825	-0.302	0.164	0.263	0.385	0.540	0.759	0.568	0.320	-128.906
-0.119	-0.645	-0.334	-0.716	-0.245	-0.547	0.306	-0.011	0.615	0.336	0.040	0.304	0.570	0.025	-0.109	-0.882	-0.750	-0.109	-0.179	-0.829	-0.253	0.093	0.155	0.316	0.470	0.678	0.644	0.276	-125.000
-0.182	-0.504	-0.226	-0.594	-0.089	-0.412	0.324	0.065	0.630	0.335	0.063	0.255	0.575	0.063	-0.109	-0.721	-0.753	-0.150	-0.209	-0.765	-0.172	0.022	0.040	0.227	0.358	0.541	0.677	0.192	-121.094
-0.217	-0.341	-0.116	-0.435	0.088	-0.279	0.320	0.117	0.625	0.310	0.063	0.181	0.536	0.109	-0.089	-0.525	-0.708	-0.166	-0.231	-0.645	-0.070	-0.034	-0.060	0.132	0.226	0.364	0.670	0.079	-117.188
-0.219	-0.174	-0.017	-0.261	0.262	-0.167	0.291	0.138	0.594	0.261	0.037	0.091	0.449	0.158	-0.041	-0.322	-0.614	-0.156	-0.235	-0.483	0.041	-0.067	-0.126	0.046	0.095	0.168	0.628	-0.051	-113.281
-0.189	-0.018	0.060	-0.092	0.413	-0.089	0.235	0.121	0.532	0.190	-0.018	-0.004	0.315	0.203	0.034	-0.130	-0.474	-0.121	-0.212	-0.295	0.148	-0.066	-0.148	-0.023	-0.019	-0.027	0.559	-0.185	-109.375
-0.130	0.120	0.115	0.060	0.525	-0.051	0.153	0.067	0.435	0.102	-0.098	-0.095	0.143	0.239	0.131	0.039	-0.296	-0.067	-0.156	-0.098	0.242	-0.030	-0.121	-0.069	-0.103	-0.205	0.471	-0.313	-105.469
-0.049	0.232	0.148	0.183	0.589	-0.053	0.053	-0.019	0.304	0.004	-0.199	-0.173	-0.049	0.263	0.240	0.184	-0.095	-0.003	-0.069	0.096	0.317	0.040	-0.053	-0.093	-0.157	-0.353	0.374	-0.423	-101.562
0.044	0.318	0.168	0.273	0.602	-0.088	-0.056	-0.128	0.148	-0.096	-0.309	-0.232	-0.242	0.273	0.345	0.306	0.110	0.060	0.042	0.274	0.372	0.134	0.041	-0.099	-0.181	-0.462	0.276	-0.505	-97.656
0.136	0.377	0.178	0.331	0.570	-0.141	-0.165	-0.244	-0.020	-0.187	-0.415	-0.267	-0.413	0.270	0.431	0.409	0.296	0.115	0.162	0.428	0.407	0.240	0.141	-0.092	-0.183	-0.527	0.187	-0.552	-93.750
0.217	0.410	0.183	0.356	0.501	-0.196	-0.261	-0.350	-0.184	-0.261	-0.499	-0.279	-0.544	0.256	0.484	0.496	0.445	0.155	0.275	0.550	0.424	0.340	0.229	-0.081	-0.174	-0.548	0.115	-0.561	-89.844
0.279	0.416	0.182	0.351	0.405	-0.235	-0.335	-0.426	-0.326	-0.311	-0.548	-0.270	-0.621	0.232	0.496	0.568	0.541	0.176	0.368	0.639	0.428	0.417	0.288	-0.072	-0.163	-0.530	0.066	-0.533	-85.938
0.316	0.401	0.172	0.321	0.296	-0.241	-0.379	-0.458	-0.433	-0.332	-0.552	-0.245	-0.641	0.200	0.464	0.625	0.577	0.181	0.430	0.693	0.420	0.456	0.307	-0.070	-0.160	-0.482	0.039	-0.475	-82.031
0.326	0.367	0.146	0.271	0.183	-0.205	-0.393	-0.435	-0.494	-0.323	-0.508	-0.209	-0.605	0.161	0.394	0.665	0.556	0.172	0.456	0.716	0.404	0.447	0.283	-0.077	-0.172	-0.417	0.034	-0.395	-78.125
0.313	0.323	0.100	0.210	0.075	-0.124	-0.378	-0.353	-0.505	-0.286	-0.423	-0.167	-0.524	0.117	0.295	0.688	0.488	0.152	0.448	0.715	0.381	0.386	0.218	-0.094	-0.205	-0.350	0.040	-0.305	-74.219
0.279	0.275	0.031	0.146	-0.021	-0.003	-0.341	-0.219	-0.469	-0.228	-0.305	-0.122	-0.413	0.067	0.184	0.695	0.388	0.124	0.412	0.698	0.354	0.278	0.122	-0.118	-0.258	-0.293	0.048	-0.216	-70.312
0.231	0.233	-0.055	0.090	-0.100	0.146	-0.292	-0.048	-0.395	-0.157	-0.170	-0.078	-0.288	0.015	0.076	0.689	0.275	0.092	0.356	0.672	0.326	0.134	0.004	-0.147	-0.331	-0.257	0.046	-0.137	-66.406
0.173	0.202	-0.149	0.050	-0.159	0.305	-0.242	0.141	-0.292	-0.081	-0.034	-0.037	-0.165	-0.038	-0.014	0.674	0.161	0.054	0.291	0.644	0.301	-0.028	-0.122	-0.177	-0.417	-0.246	0.023	-0.074	-62.500
0.111	0.187	-0.237	0.031	-0.198	0.456	-0.202	0.323	-0.176	-0.011	0.091	-0.001	-0.058	-0.088	-0.076	0.653	0.056	0.011	0.222	0.615	0.281	-0.189	-0.244	-0.203	-0.508	-0.260	-0.026	-0.028	-58.594
0.049	0.186	-0.303	0.034	-0.216	0.581	-0.179	0.479	-0.056	0.048	0.195	0.032	0.027	-0.134	-0.108	0.627	-0.034	-0.035	0.155	0.582	0.266	-0.332	-0.352	-0.223	-0.591	-0.290	-0.101	0.003	-54.688
-0.011	0.193	-0.336	0.054	-0.217	0.665	-0.176	0.592	0.058	0.092	0.274	0.060	0.084	-0.174	-0.115	0.591	-0.111	-0.082	0.092	0.540	0.252	-0.443	-0.437	-0.234	-0.652	-0.323	-0.197	0.026	-50.781
-0.066	0.199	-0.330	0.083	-0.203	0.699	-0.191	0.655	0.165	0.121	0.331	0.084	0.118	-0.208	-0.105	0.534	-0.177	-0.126	0.029	0.478	0.233	-0.516	-0.494	-0.233	-0.680	-0.344	-0.302	0.048	-46.875
-0.117	0.192	-0.289	0.109	-0.179	0.682	-0.215	0.671	0.266	0.140	0.373	0.105	0.135	-0.237	-0.093	0.444	-0.236	-0.162	-0.036	0.390	0.200	-0.554	-0.521	-0.221	-0.663	-0.341	-0.403	0.078	-42.969
-0.166	0.160	-0.220	0.124	-0.145	0.623	-0.238	0.649	0.364	0.153	0.412	0.124	0.145	-0.262	-0.091	0.310	-0.292	-0.185	-0.109	0.269	0.148	-0.566	-0.521	-0.199	-0.598	-0.306	-0.485	0.122	-39.062
-0.215	0.099	-0.137	0.123	-0.101	0.537	-0.246	0.603	0.464	0.166	0.454	0.141	0.156	-0.285	-0.109	0.131	-0.345	-0.191	-0.191	0.117	0.072	-0.565	-0.501	-0.170	-0.490	-0.237	-0.539	0.180	-35.156
-0.268	0.011	-0.053	0.108	-0.045	0.443	-0.230	0.548	0.566	0.182	0.503	0.153	0.174	-0.308	-0.148	-0.087	-0.395	-0.177	-0.283	-0.054	-0.025	-0.567	-0.470	-0.142	-0.351	-0.142	-0.557	0.249	-31.250
-0.326	-0.093	0.022	0.090	0.028	0.362	-0.183	0.497	0.665	0.198	0.558	0.158	0.200	-0.330	-0.204	-0.322	-0.439	-0.143	-0.384	-0.227	-0.135	-0.580	-0.439	-0.121	-0.201	-0.036	-0.540	0.317	-27.344
-0.389	-0.198	0.086	0.081	0.121	0.311	-0.108	0.455	0.753	0.210	0.609	0.153	0.229	-0.350	-0.265	-0.547	-0.470	-0.092	-0.485	-0.381	-0.248	-0.610	-0.417	-0.112	-0.060	0.064	-0.494	0.370	-23.438
-0.453	-0.282	0.139	0.093	0.235	0.300	-0.014	0.422	0.815	0.212	0.645	0.136	0.255	-0.368	-0.316	-0.731	-0.483	-0.029	-0.577	-0.492	-0.351	-0.650	-0.409	-0.120	0.051	0.140	-0.427	0.395	-19.531
-0.512	-0.329	0.187	0.133	0.366	0.326	0.084	0.391	0.840	0.196	0.653	0.106	0.268	-0.380	-0.345	-0.846	-0.472	0.041	-0.649	-0.544	-0.433	-0.690	-0.415	-0.144	0.116	0.181	-0.352	0.382	-15.625
-0.559	-0.329	0.232	0.202	0.504	0.379	0.167	0.355	0.816	0.157	0.625	0.063	0.261	-0.383	-0.341	-0.875	-0.433	0.112	-0.690	-0.527	-0.484	-0.713	-0.430	-0.177	0.131	0.184	-0.279	0.330	-11.719
-0.587	-0.278	0.278	0.292	0.635	0.440	0.217	0.302	0.738	0.093	0.559	0.008	0.230	-0.376	-0.301	-0.813	-0.365	0.179	-0.694	-0.445	-0.504	-0.705	-0.445	-0.212	0.100	0.154	-0.217	0.244	-7.812
-0.590	-0.185	0.323	0.387	0.744	0.490	0.220	0.226	0.610	0.009	0.461	-0.057	0.173	-0.357	-0.230	-0.670	-0.271	0.236	-0.658	-0.309	-0.494	-0.658	-0.450	-0.237	0.037	0.103	-0.171	0.137	-3.906
-0.569	-0.064	0.362	0.472	0.820	0.511	0.171	0.127	0.442	-0.090	0.342	-0.129	0.093	-0.328	-0.136	-0.468	-0.158	0.280	-0.586	-0.138	-0.461	-0.570	-0.438	-0.243	-0.037	0.049	-0.140	0.028	0.000
-0.529	0.066	0.389	0.529	0.854	0.494	0.076	0.009	0.254	-0.191	0.220	-0.202	-0.006	-0.290	-0.035	-0.237	-0.035	0.309	-0.489	0.043	-0.417	-0.451	-0.405	-0.225	-0.103	0.007	-0.123	-0.064	3.906
-0.479	0.187	0.398	0.551	0.848	0.442	-0.053	-0.116	0.065	-0.285	0.114	-0.272	-0.118	-0.248	0.060	-0.010	0.084	0.321	-0.378	0.211	-0.370	-0.316	-0.353	-0.184	-0.142	-0.014	-0.115	-0.124	7.812
-0.429	0.283	0.385	0.535	0.812	0.363	-0.193	-0.236	-0.100	-0.358	0.042	-0.330	-0.235	-0.206	0.136	0.183	0.186	0.315	-0.271	0.348	-0.328	-0.184	-0.289	-0.127	-0.145	-0.009	-0.111	-0.145	11.719
-0.392	0.347	0.352	0.486	0.757	0.275	-0.323	-0.335	-0.223	-0.403	0.016	-0.369	-0.348	-0.168	0.184	0.323	0.258	0.289	-0.181	0.442	-0.295	-0.076	-0.223	-0.063	-0.111	0.018	-0.107	-0.126	15.625
-0.373	0.378	0.302	0.417	0.701	0.195	-0.421	-0.401	-0.289	-0.415	0.042	-0.383	-0.449	-0.136	0.200	0.399	0.290	0.245	-0.119	0.490	-0.272	-0.008	-0.166	-0.004	-0.048	0.055	-0.104	-0.077	19.531
-0.377	0.379	0.242	0.341	0.656	0.137	-0.472	-0.428	-0.294	-0.392	0.116	-0.366	-0.530	-0.112	0.187	0.417	0.274	0.185	-0.092	0.494	-0.257	0.014	-0.127	0.040	0.032	0.091	-0.100	-0.009	23.438
-0.398	0.360	0.180	0.273	0.630	0.108	-0.471	-0.416	-0.244	-0.339	0.223	-0.316	-0.587	-0.096	0.150	0.390	0.207	0.115	-0.101	0.463	-0.246	-0.010	-0.112	0.061	0.111	0.114	-0.097	0.064	27.344
-0.427	0.332	0.127	0.224	0.624	0.105	-0.424	-0.369	-0.155	-0.265	0.344	-0.237	-0.619	-0.088	0.100	0.340	0.090	0.044	-0.142	0.408	-0.236	-0.072	-0.118	0.061	0.178	0.117	-0.097	0.129	31.250
-0.451	0.305	0.090	0.202	0.632	0.120	-0.345	-0.298	-0.053	-0.183	0.456	-0.135	-0.630	-0.089	0.048	0.288	-0.069	-0.016	-0.208	0.338	-0.226	-0.155	-0.140	0.042	0.223	0.098	-0.102	0.180	35.156
-0.457	0.287	0.075	0.209	0.642	0.137	-0.252	-0.216	0.034	-0.106	0.537	-0.024	-0.626	-0.099	0.006	0.253	-0.260	-0.055	-0.290	0.262	-0.216	-0.241	-0.165	0.012	0.244	0.060	-0.115	0.209	39.062
-0.435	0.286	0.084	0.244	0.642	0.143	-0.168	-0.134	0.079	-0.048	0.573	0.079	-0.620	-0.120	-0.019	0.251	-0.466	-0.063	-0.375	0.187	-0.207	-0.312	-0.184	-0.024	0.244	0.009	-0.142	0.217	42.969
-0.381	0.305	0.118	0.302	0.622	0.127	-0.113	-0.061	0.065	-0.021	0.559	0.155	-0.625	-0.157	-0.022	0.286	-0.668	-0.034	-0.455	0.119	-0.204	-0.355	-0.186	-0.061	0.231	-0.049	-0.190	0.199	46.875
