FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	time
0.655	-0.205	0.467	0.025	0.472	0.424	0.124	-0.337	-0.171	-0.042	0.111	0.167	0.939	0.672	1.239	-0.049	-1.819	0.092	-0.851	0.594	0.940	-0.273	-0.682	0.721	0.270	-0.346	0.090	-0.493	-199.219
0.423	-0.292	0.283	-0.097	0.236	0.174	0.209	-0.336	-0.106	0.078	0.152	0.288	1.104	0.794	0.223	-0.119	-1.310	-0.227	-0.654	0.392	0.839	-0.109	-0.455	0.869	0.434	-0.054	0.389	-0.252	-195.312
0.203	-0.357	0.120	-0.202	0.021	-0.059	0.277	-0.347	-0.063	0.172	0.177	0.396	1.257	0.906	-0.638	-0.172	-0.872	-0.495	-0.489	0.220	0.757	0.025	-0.264	0.992	0.572	0.213	0.662	-0.023	-191.406
0.009	-0.386	-0.000	-0.280	-0.154	-0.257	0.318	-0.375	-0.055	0.222	0.176	0.479	1.385	0.999	-1.221	-0.196	-0.565	-0.677	-0.380	0.101	0.704	0.110	-0.129	1.070	0.662	0.426	0.881	0.178	-187.500
-0.152	-0.369	-0.066	-0.319	-0.271	-0.403	0.330	-0.419	-0.086	0.220	0.145	0.525	1.476	1.067	-1.471	-0.184	-0.411	-0.755	-0.333	0.050	0.689	0.139	-0.060	1.087	0.684	0.560	1.026	0.334	-183.594
-0.278	-0.302	-0.079	-0.310	-0.316	-0.482	0.319	-0.466	-0.152	0.172	0.082	0.524	1.520	1.106	-1.407	-0.136	-0.394	-0.732	-0.336	0.072	0.714	0.124	-0.047	1.038	0.628	0.598	1.083	0.428	-179.688
-0.368	-0.191	-0.047	-0.249	-0.286	-0.489	0.297	-0.502	-0.236	0.089	-0.005	0.472	1.513	1.117	-1.110	-0.056	-0.468	-0.626	-0.362	0.163	0.771	0.083	-0.072	0.927	0.492	0.530	1.044	0.445	-175.781
-0.414	-0.050	0.017	-0.138	-0.182	-0.421	0.278	-0.509	-0.318	-0.007	-0.106	0.369	1.452	1.100	-0.698	0.042	-0.577	-0.465	-0.381	0.306	0.848	0.040	-0.113	0.765	0.285	0.359	0.913	0.376	-171.875
-0.409	0.099	0.103	0.011	-0.019	-0.288	0.279	-0.472	-0.378	-0.094	-0.207	0.221	1.342	1.058	-0.289	0.144	-0.668	-0.285	-0.372	0.473	0.927	0.018	-0.148	0.567	0.026	0.099	0.705	0.222	-167.969
-0.346	0.234	0.203	0.181	0.183	-0.106	0.309	-0.383	-0.399	-0.153	-0.294	0.042	1.192	0.997	0.023	0.229	-0.703	-0.124	-0.321	0.636	0.990	0.029	-0.164	0.356	-0.260	-0.222	0.441	-0.006	-164.062
