FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	time
1.436	-0.235	-0.878	-0.429	-0.398	-0.494	-0.519	-0.818	1.630	-0.479	0.777	0.652	-0.015	0.181	-1.647	0.135	-0.189	-0.155	-0.525	0.077	0.119	0.345	0.103	0.375	0.452	0.095	0.411	0.175	-199.219
1.081	0.059	-0.699	-0.040	-0.142	-0.292	-0.495	-0.443	0.804	-0.583	0.228	0.128	-0.143	0.170	-0.751	0.255	0.134	-0.246	-0.202	0.284	0.261	0.405	0.328	0.159	0.155	-0.151	-0.034	-0.179	-195.312
0.758	0.307	-0.531	0.304	0.094	-0.108	-0.467	-0.111	0.072	-0.671	-0.270	-0.357	-0.246	0.164	0.089	0.356	0.403	-0.331	0.080	0.468	0.392	0.459	0.524	-0.026	-0.113	-0.354	-0.422	-0.498	-191.406
0.483	0.484	-0.386	0.570	0.294	0.044	-0.430	0.146	-0.495	-0.731	-0.680	-0.771	-0.301	0.168	0.821	0.427	0.589	-0.400	0.298	0.609	0.503	0.505	0.674	-0.155	-0.329	-0.488	-0.706	-0.754	-187.500
0.263	0.571	-0.273	0.737	0.442	0.149	-0.384	0.306	-0.854	-0.755	-0.976	-1.087	-0.297	0.184	1.403	0.461	0.676	-0.441	0.434	0.695	0.588	0.540	0.762	-0.210	-0.477	-0.535	-0.856	-0.925	-183.594
0.097	0.564	-0.193	0.793	0.529	0.200	-0.329	0.361	-0.993	-0.744	-1.148	-1.290	-0.227	0.213	1.807	0.456	0.667	-0.445	0.483	0.721	0.643	0.561	0.781	-0.186	-0.550	-0.494	-0.862	-1.002	-179.688
-0.024	0.470	-0.141	0.744	0.552	0.192	-0.266	0.320	-0.933	-0.700	-1.201	-1.375	-0.100	0.253	2.022	0.416	0.580	-0.404	0.453	0.689	0.665	0.568	0.734	-0.091	-0.549	-0.378	-0.736	-0.984	-175.781
-0.109	0.307	-0.112	0.607	0.514	0.131	-0.196	0.202	-0.724	-0.632	-1.151	-1.350	0.072	0.297	2.052	0.348	0.449	-0.319	0.368	0.611	0.657	0.558	0.631	0.057	-0.483	-0.214	-0.509	-0.886	-171.875
-0.166	0.105	-0.102	0.410	0.424	0.030	-0.123	0.038	-0.438	-0.549	-1.022	-1.229	0.266	0.341	1.921	0.267	0.312	-0.200	0.259	0.503	0.624	0.537	0.492	0.232	-0.372	-0.034	-0.222	-0.731	-167.969
-0.202	-0.100	-0.110	0.190	0.298	-0.095	-0.048	-0.143	-0.155	-0.461	-0.839	-1.036	0.457	0.377	1.670	0.184	0.204	-0.064	0.159	0.386	0.572	0.508	0.338	0.404	-0.237	0.129	0.079	-0.547	-164.062
-0.221	-0.274	-0.137	-0.017	0.153	-0.224	0.024	-0.315	0.056	-0.378	-0.627	-0.793	0.624	0.400	1.346	0.114	0.150	0.066	0.096	0.278	0.510	0.479	0.192	0.548	-0.104	0.249	0.348	-0.362	-160.156
-0.228	-0.388	-0.179	-0.179	0.008	-0.337	0.089	-0.462	0.148	-0.304	-0.406	-0.526	0.747	0.405	1.005	0.067	0.158	0.164	0.089	0.195	0.448	0.454	0.075	0.641	0.005	0.313	0.554	-0.200	-156.250
-0.223	-0.428	-0.228	-0.274	-0.117	-0.417	0.144	-0.578	0.104	-0.240	-0.192	-0.256	0.815	0.393	0.696	0.047	0.219	0.213	0.138	0.146	0.394	0.438	-0.001	0.669	0.069	0.314	0.673	-0.076	-152.344
-0.209	-0.395	-0.272	-0.296	-0.210	-0.455	0.185	-0.664	-0.057	-0.185	0.006	-0.002	0.827	0.363	0.456	0.054	0.307	0.203	0.230	0.135	0.355	0.427	-0.032	0.631	0.083	0.260	0.698	0.002	-148.438
-0.186	-0.308	-0.295	-0.251	-0.260	-0.445	0.211	-0.724	-0.294	-0.135	0.182	0.223	0.785	0.320	0.305	0.083	0.388	0.141	0.338	0.156	0.332	0.414	-0.022	0.530	0.047	0.165	0.635	0.036	-144.531
-0.156	-0.192	-0.287	-0.160	-0.267	-0.391	0.221	-0.762	-0.550	-0.086	0.335	0.409	0.699	0.267	0.246	0.125	0.428	0.043	0.431	0.200	0.322	0.390	0.018	0.381	-0.023	0.046	0.500	0.037	-140.625
-0.122	-0.076	-0.241	-0.048	-0.234	-0.300	0.216	-0.777	-0.769	-0.035	0.462	0.551	0.581	0.206	0.261	0.172	0.401	-0.063	0.480	0.256	0.322	0.346	0.078	0.201	-0.109	-0.077	0.314	0.017	-136.719
-0.088	0.021	-0.165	0.062	-0.169	-0.185	0.198	-0.768	-0.908	0.016	0.561	0.647	0.444	0.139	0.323	0.216	0.300	-0.149	0.466	0.310	0.322	0.274	0.143	0.011	-0.187	-0.189	0.099	-0.008	-132.812
-0.058	0.089	-0.071	0.150	-0.086	-0.059	0.169	-0.730	-0.942	0.063	0.628	0.694	0.299	0.068	0.393	0.252	0.136	-0.195	0.388	0.353	0.318	0.176	0.203	-0.169	-0.236	-0.278	-0.121	-0.027	-128.906
-0.034	0.131	0.023	0.209	0.001	0.064	0.130	-0.660	-0.871	0.100	0.657	0.694	0.154	-0.007	0.433	0.280	-0.063	-0.193	0.259	0.380	0.305	0.059	0.249	-0.320	-0.245	-0.339	-0.327	-0.035	-125.000
-0.017	0.158	0.101	0.241	0.080	0.173	0.085	-0.555	-0.717	0.122	0.638	0.645	0.018	-0.082	0.411	0.301	-0.260	-0.147	0.106	0.391	0.284	-0.064	0.274	-0.429	-0.210	-0.373	-0.501	-0.032	-121.094
-0.010	0.180	0.151	0.253	0.140	0.260	0.035	-0.418	-0.511	0.121	0.567	0.550	-0.103	-0.156	0.314	0.319	-0.419	-0.077	-0.039	0.386	0.254	-0.178	0.275	-0.486	-0.137	-0.379	-0.630	-0.023	-117.188
-0.018	0.204	0.168	0.254	0.173	0.320	-0.019	-0.253	-0.291	0.095	0.441	0.413	-0.206	-0.226	0.145	0.334	-0.512	-0.007	-0.145	0.368	0.216	-0.268	0.250	-0.491	-0.037	-0.359	-0.701	-0.011	-113.281
-0.045	0.227	0.153	0.249	0.177	0.353	-0.077	-0.067	-0.086	0.043	0.266	0.242	-0.291	-0.291	-0.070	0.344	-0.525	0.042	-0.190	0.336	0.170	-0.325	0.202	-0.447	0.078	-0.310	-0.705	0.000	-109.375
-0.094	0.239	0.111	0.237	0.149	0.359	-0.137	0.131	0.085	-0.031	0.055	0.051	-0.358	-0.349	-0.294	0.341	-0.462	0.057	-0.169	0.286	0.110	-0.347	0.135	-0.363	0.196	-0.226	-0.635	0.016	-105.469
-0.167	0.223	0.053	0.210	0.093	0.340	-0.197	0.328	0.220	-0.118	-0.170	-0.143	-0.409	-0.403	-0.489	0.314	-0.345	0.035	-0.096	0.213	0.032	-0.339	0.057	-0.251	0.312	-0.099	-0.491	0.044	-101.562
-0.257	0.170	-0.010	0.156	0.012	0.298	-0.252	0.513	0.328	-0.204	-0.386	-0.321	-0.444	-0.452	-0.622	0.251	-0.209	-0.014	0.004	0.108	-0.071	-0.313	-0.027	-0.121	0.422	0.076	-0.278	0.096	-97.656
-0.355	0.075	-0.065	0.065	-0.086	0.237	-0.294	0.674	0.426	-0.273	-0.567	-0.464	-0.463	-0.498	-0.674	0.140	-0.094	-0.070	0.094	-0.034	-0.202	-0.285	-0.107	0.015	0.527	0.297	-0.007	0.180	-93.750
-0.442	-0.054	-0.101	-0.070	-0.195	0.159	-0.316	0.804	0.527	-0.308	-0.692	-0.558	-0.464	-0.539	-0.647	-0.023	-0.037	-0.115	0.138	-0.215	-0.358	-0.268	-0.179	0.150	0.630	0.553	0.301	0.299	-89.844
-0.497	-0.208	-0.110	-0.245	-0.305	0.069	-0.308	0.897	0.633	-0.297	-0.747	-0.593	-0.445	-0.573	-0.557	-0.233	-0.067	-0.131	0.109	-0.429	-0.531	-0.271	-0.240	0.279	0.731	0.825	0.621	0.447	-85.938
-0.494	-0.374	-0.089	-0.452	-0.409	-0.027	-0.265	0.949	0.736	-0.234	-0.728	-0.566	-0.399	-0.592	-0.431	-0.480	-0.191	-0.110	-0.004	-0.663	-0.703	-0.295	-0.285	0.400	0.828	1.084	0.924	0.612	-82.031
