FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	time
-0.817	0.399	-0.234	0.675	0.757	0.444	1.899	0.071	-0.216	2.183	1.812	1.565	1.681	1.223	-1.176	0.127	-0.808	-1.441	-2.149	0.078	0.562	-0.480	-1.436	1.141	-1.634	-0.138	2.016	1.520	-199.219
-0.807	0.298	-0.546	0.600	0.813	0.371	1.557	-0.030	-0.400	1.841	1.405	1.494	1.526	1.189	-1.097	0.186	-0.525	-1.167	-1.457	0.305	0.772	-0.230	-1.063	1.218	-1.475	-0.302	2.076	1.498	-195.312
-0.789	0.200	-0.798	0.517	0.855	0.310	1.239	-0.098	-0.552	1.515	1.024	1.410	1.369	1.135	-1.006	0.230	-0.280	-0.905	-0.828	0.495	0.945	-0.027	-0.724	1.262	-1.315	-0.482	2.083	1.429	-191.406
-0.757	0.109	-0.946	0.421	0.865	0.268	0.960	-0.113	-0.650	1.212	0.684	1.298	1.205	1.044	-0.895	0.245	-0.103	-0.664	-0.312	0.620	1.052	0.102	-0.437	1.250	-1.146	-0.682	1.997	1.280	-187.500
-0.706	0.025	-0.969	0.307	0.832	0.242	0.729	-0.067	-0.678	0.934	0.395	1.148	1.035	0.912	-0.760	0.224	-0.014	-0.451	0.053	0.661	1.078	0.145	-0.212	1.172	-0.959	-0.896	1.800	1.032	-183.594
-0.626	-0.054	-0.868	0.171	0.746	0.225	0.547	0.036	-0.632	0.677	0.157	0.953	0.862	0.745	-0.603	0.162	-0.018	-0.273	0.252	0.615	1.019	0.109	-0.054	1.033	-0.746	-1.105	1.499	0.690	-179.688
-0.512	-0.129	-0.668	0.015	0.606	0.205	0.409	0.180	-0.519	0.433	-0.038	0.712	0.696	0.563	-0.434	0.065	-0.103	-0.130	0.291	0.494	0.892	0.023	0.049	0.850	-0.499	-1.286	1.118	0.277	-175.781
-0.363	-0.198	-0.411	-0.154	0.421	0.170	0.301	0.334	-0.363	0.189	-0.208	0.426	0.545	0.392	-0.268	-0.053	-0.244	-0.022	0.200	0.326	0.725	-0.072	0.117	0.652	-0.214	-1.411	0.699	-0.171	-171.875
-0.190	-0.258	-0.143	-0.322	0.208	0.112	0.204	0.465	-0.198	-0.069	-0.376	0.102	0.416	0.260	-0.119	-0.170	-0.405	0.058	0.028	0.150	0.557	-0.132	0.177	0.468	0.105	-1.457	0.285	-0.613	-167.969
-0.006	-0.300	0.088	-0.469	-0.011	0.029	0.103	0.538	-0.064	-0.351	-0.565	-0.251	0.315	0.190	0.003	-0.261	-0.546	0.120	-0.166	0.008	0.425	-0.122	0.254	0.325	0.445	-1.411	-0.089	-1.011	-164.062
0.164	-0.316	0.252	-0.577	-0.209	-0.071	-0.017	0.528	0.006	-0.658	-0.784	-0.617	0.240	0.192	0.091	-0.302	-0.632	0.174	-0.327	-0.067	0.357	-0.026	0.366	0.239	0.788	-1.272	-0.397	-1.331	-160.156
0.297	-0.298	0.331	-0.632	-0.365	-0.178	-0.158	0.429	-0.011	-0.979	-1.031	-0.973	0.189	0.266	0.145	-0.280	-0.639	0.229	-0.412	-0.053	0.371	0.151	0.509	0.212	1.106	-1.051	-0.628	-1.552	-156.250
0.372	-0.246	0.331	-0.630	-0.463	-0.278	-0.313	0.250	-0.115	-1.291	-1.283	-1.294	0.156	0.398	0.169	-0.190	-0.561	0.288	-0.402	0.052	0.462	0.375	0.664	0.236	1.372	-0.773	-0.786	-1.662	-152.344
0.374	-0.168	0.270	-0.576	-0.497	-0.358	-0.467	0.021	-0.290	-1.560	-1.505	-1.549	0.140	0.568	0.167	-0.045	-0.408	0.351	-0.301	0.232	0.616	0.603	0.793	0.294	1.558	-0.468	-0.878	-1.659	-148.438
0.304	-0.079	0.176	-0.489	-0.472	-0.409	-0.594	-0.219	-0.497	-1.749	-1.653	-1.710	0.140	0.750	0.144	0.132	-0.204	0.408	-0.135	0.455	0.806	0.782	0.854	0.365	1.643	-0.171	-0.916	-1.550	-144.531
0.168	-0.001	0.077	-0.390	-0.403	-0.427	-0.669	-0.424	-0.688	-1.823	-1.686	-1.752	0.162	0.922	0.103	0.310	0.014	0.446	0.055	0.685	1.001	0.871	0.806	0.429	1.619	0.090	-0.908	-1.344	-140.625
-0.015	0.042	-0.008	-0.306	-0.307	-0.414	-0.669	-0.559	-0.817	-1.755	-1.572	-1.660	0.211	1.064	0.043	0.453	0.206	0.451	0.226	0.879	1.171	0.843	0.628	0.474	1.486	0.296	-0.852	-1.055	-136.719
-0.222	0.032	-0.068	-0.253	-0.207	-0.376	-0.578	-0.598	-0.843	-1.538	-1.297	-1.430	0.292	1.164	-0.040	0.532	0.334	0.407	0.341	1.004	1.290	0.696	0.321	0.494	1.262	0.441	-0.746	-0.697	-132.812
-0.431	-0.043	-0.107	-0.244	-0.120	-0.321	-0.396	-0.538	-0.745	-1.179	-0.870	-1.071	0.403	1.210	-0.147	0.526	0.369	0.305	0.376	1.032	1.341	0.448	-0.085	0.490	0.972	0.534	-0.581	-0.287	-128.906
-0.623	-0.178	-0.132	-0.276	-0.057	-0.255	-0.133	-0.391	-0.523	-0.707	-0.318	-0.609	0.538	1.199	-0.278	0.424	0.294	0.144	0.323	0.951	1.312	0.134	-0.539	0.472	0.652	0.596	-0.356	0.159	-125.000
-0.781	-0.357	-0.155	-0.337	-0.023	-0.184	0.189	-0.185	-0.198	-0.164	0.311	-0.079	0.681	1.131	-0.431	0.234	0.113	-0.067	0.192	0.763	1.200	-0.202	-0.981	0.449	0.336	0.647	-0.079	0.617	-121.094
-0.894	-0.553	-0.181	-0.408	-0.012	-0.109	0.537	0.045	0.190	0.401	0.958	0.475	0.813	1.011	-0.597	-0.022	-0.154	-0.311	0.005	0.485	1.013	-0.519	-1.351	0.428	0.055	0.704	0.229	1.063	-117.188
-0.952	-0.727	-0.206	-0.462	-0.015	-0.032	0.876	0.259	0.588	0.932	1.558	1.003	0.914	0.851	-0.763	-0.308	-0.470	-0.561	-0.208	0.151	0.770	-0.781	-1.605	0.412	-0.173	0.773	0.531	1.463	-113.281
-0.951	-0.845	-0.218	-0.476	-0.018	0.049	1.170	0.426	0.942	1.377	2.046	1.456	0.965	0.666	-0.910	-0.583	-0.787	-0.788	-0.412	-0.198	0.497	-0.967	-1.720	0.394	-0.344	0.839	0.786	1.782	-109.375
-0.886	-0.875	-0.201	-0.432	-0.009	0.129	1.386	0.519	1.196	1.693	2.365	1.792	0.955	0.471	-1.011	-0.803	-1.051	-0.962	-0.575	-0.512	0.229	-1.068	-1.698	0.361	-0.466	0.876	0.945	1.984	-105.469
-0.751	-0.798	-0.135	-0.317	0.019	0.204	1.497	0.525	1.309	1.848	2.474	1.976	0.875	0.281	-1.039	-0.928	-1.214	-1.055	-0.669	-0.747	-0.003	-1.084	-1.557	0.297	-0.559	0.846	0.973	2.033	-101.562
-0.543	-0.613	-0.007	-0.135	0.067	0.268	1.486	0.445	1.256	1.827	2.351	1.986	0.727	0.105	-0.966	-0.934	-1.240	-1.046	-0.674	-0.870	-0.175	-1.026	-1.327	0.187	-0.649	0.712	0.845	1.904	-97.656
-0.261	-0.331	0.185	0.105	0.130	0.316	1.350	0.288	1.035	1.632	2.001	1.819	0.517	-0.054	-0.774	-0.814	-1.117	-0.922	-0.583	-0.869	-0.275	-0.906	-1.043	0.022	-0.758	0.445	0.557	1.587	-93.750
0.092	0.019	0.433	0.378	0.199	0.344	1.097	0.079	0.671	1.287	1.454	1.487	0.256	-0.199	-0.460	-0.581	-0.854	-0.685	-0.401	-0.750	-0.309	-0.741	-0.736	-0.198	-0.902	0.039	0.126	1.093	-89.844
0.502	0.398	0.715	0.656	0.259	0.355	0.752	-0.154	0.212	0.829	0.767	1.023	-0.039	-0.335	-0.043	-0.268	-0.485	-0.349	-0.145	-0.542	-0.293	-0.544	-0.433	-0.463	-1.080	-0.485	-0.410	0.455	-85.938
0.939	0.760	0.998	0.903	0.298	0.354	0.348	-0.373	-0.275	0.310	0.014	0.473	-0.347	-0.469	0.437	0.080	-0.062	0.052	0.155	-0.288	-0.255	-0.331	-0.152	-0.749	-1.278	-1.077	-0.995	-0.272	-82.031
1.361	1.061	1.246	1.086	0.304	0.346	-0.074	-0.544	-0.720	-0.214	-0.722	-0.105	-0.646	-0.604	0.926	0.408	0.356	0.479	0.458	-0.040	-0.224	-0.119	0.093	-1.027	-1.462	-1.663	-1.565	-1.012	-78.125
1.715	1.259	1.421	1.177	0.269	0.338	-0.473	-0.638	-1.054	-0.690	-1.359	-0.653	-0.914	-0.740	1.362	0.666	0.712	0.880	0.724	0.157	-0.225	0.075	0.293	-1.266	-1.591	-2.154	-2.054	-1.687	-74.219
1.946	1.330	1.494	1.157	0.190	0.330	-0.814	-0.636	-1.228	-1.073	-1.833	-1.115	-1.133	-0.872	1.689	0.813	0.963	1.212	0.914	0.268	-0.272	0.235	0.444	-1.436	-1.616	-2.464	-2.402	-2.220	-70.312
2.012	1.261	1.448	1.022	0.071	0.319	-1.072	-0.534	-1.217	-1.335	-2.101	-1.451	-1.290	-0.993	1.867	0.831	1.087	1.436	1.000	0.277	-0.370	0.346	0.544	-1.516	-1.499	-2.524	-2.568	-2.551	-66.406
1.890	1.061	1.284	0.784	-0.077	0.299	-1.236	-0.346	-1.024	-1.463	-2.151	-1.636	-1.380	-1.096	1.882	0.720	1.084	1.530	0.970	0.188	-0.511	0.398	0.596	-1.499	-1.220	-2.299	-2.535	-2.648	-62.500
1.591	0.757	1.021	0.470	-0.240	0.265	-1.307	-0.096	-0.680	-1.459	-1.998	-1.668	-1.408	-1.174	1.740	0.503	0.975	1.491	0.832	0.019	-0.681	0.386	0.605	-1.389	-0.781	-1.798	-2.313	-2.506	-58.594
